connection_id,client_id,client_name,property_address,connection_type,install_date,meter_serial,status,technician_id,technician_name
CN1172,C092,Lia Assunção,"Largo Sá, 7, 5591-476 Porto Santo",Three-phase,5/11/2021,MTR1172,Active,T026,Marco Ferreira
CN1173,C481,Mateus Barros,"Praça de Rodrigues, 23, 9979-849 Marco de Canaveses",Three-phase,4/1/2020,MTR1173,Disconnected,T086,Bruno do Coelho
CN1174,C206,Marcos Nascimento,"Avenida Manuel Vicente, 73, 1797-062 Serpa",Three-phase,11/26/2023,MTR1174,Disconnected,T041,Afonso Machado
CN1175,C240,Tiago Miranda,"Praça Mafalda Vaz, 1, 5167-670 Guarda",Single-phase,10/2/2019,MTR1175,Suspended,T076,Lorena Andrade-Nascimento
CN1176,C302,Eduarda-Pilar Carneiro,"Av de Neto, 88, 9758-598 Coimbra",Three-phase,10/6/2025,MTR1176,Disconnected,T109,Joel Antunes
CN1177,C445,Ângela Sousa-Loureiro,"Rua Luísa Reis, 92, 5129-592 Fátima",Three-phase,4/25/2020,MTR1177,Disconnected,T105,David Neto
CN1178,C105,Lara Oliveira,"Largo de Torres, 20, 0396-101 Ponta Delgada",Single-phase,6/9/2024,MTR1178,Suspended,T011,Guilherme Antunes
CN1179,C156,Pilar Gaspar,"Avenida Cardeal Cerejeira, 40, 5084-243 Viana do Castelo",Three-phase,2/2/2019,MTR1179,Active,T031,Luca Matos
CN1180,C506,Marcos da Machado,"Largo Mia Pinto, S/N, 7396-342 Ribeira Grande",Single-phase,1/16/2023,MTR1180,Disconnected,T048,Bianca-Leonor Barros
CN1181,C309,Lisandro Moreira,"R. de Assunção, 2, 6502-234 Silves",Single-phase,2/12/2023,MTR1181,Disconnected,T054,Soraia Pinto
CN1182,C380,Tatiana do Cunha,"R. da Senhora da Lapa, 53, 7695-874 Leiria",Single-phase,1/26/2023,MTR1182,Suspended,T055,Leandro Sousa
CN1183,C475,Andreia Rodrigues,"Largo Sérgio Gonçalves, 9, 5376-425 Alverca do Ribatejo",Single-phase,3/20/2025,MTR1183,Disconnected,T069,Eva Fonseca
CN1184,C379,Catarina Moura,"R. Kelly Lourenço, 4, 7272-742 Cartaxo",Three-phase,7/24/2023,MTR1184,Active,T063,Martim Jesus-Mendes
CN1185,C282,Santiago Fonseca,"Rua de Esteves, 81, 8649-426 Figueira da Foz",Three-phase,6/12/2022,MTR1185,Disconnected,T041,Afonso Machado
CN1186,C233,Gonçalo Matos,"Largo Clara Torres, 14, 0348-645 Vendas Novas",Three-phase,5/6/2020,MTR1186,Active,T111,Yasmin-Salomé Leal
CN1187,C434,Benjamim Maia,"Rua Afonso Gaspar, 811, 1421-524 Câmara de Lobos",Single-phase,4/19/2020,MTR1187,Suspended,T018,Henrique Azevedo
CN1188,C433,Mariana Esteves,"Travessa de Cartes, 69, 9041-898 Santarém",Three-phase,9/4/2023,MTR1188,Suspended,T065,Mafalda Baptista
CN1189,C138,Beatriz Gonçalves-Cruz,"R. Marques, S/N, 4872-012 Barcelos",Three-phase,12/25/2018,MTR1189,Disconnected,T063,Martim Jesus-Mendes
CN1190,C296,Soraia Vieira,"Alameda Nair Castro, 96, 1273-421 Faro",Three-phase,12/23/2019,MTR1190,Active,T057,Larissa Machado
CN1191,C329,Duarte Teixeira,"R. Araújo, 4, 2055-033 Barreiro",Single-phase,12/23/2022,MTR1191,Active,T073,César Costa
CN1192,C520,Erica da Abreu,"Largo Tiago Sá, 80, 3123-155 Amora",Three-phase,6/10/2021,MTR1192,Active,T005,Salomé Araújo
CN1193,C042,Fabiana Cunha,"Travessa Rafaela Figueiredo, 93, 6535-232 Santana",Single-phase,11/22/2022,MTR1193,Suspended,T037,Enzo Sá
CN1194,C497,Luca Cardoso-Gaspar,"Praça de Martins, 4, 3911-142 Silves",Three-phase,7/17/2023,MTR1194,Disconnected,T096,Larissa de Pires
CN1195,C410,Nicole Fernandes,"Travessa Mota, 93, 3705-424 Castelo Branco",Single-phase,7/26/2025,MTR1195,Suspended,T015,Nicole de Loureiro
CN1196,C326,Nair Jesus,"Travessa Diogo Paiva, 80, 0514-054 Torres Novas",Three-phase,5/28/2024,MTR1196,Disconnected,T070,Camila Pereira
CN1197,C238,Tomás Macedo,"Alameda de Gomes, 35, 9242-875 Espinho",Single-phase,4/11/2024,MTR1197,Disconnected,T097,Marco Andrade
CN1198,C332,Beatriz Gomes,"Av de Assunção, 841, 6578-939 Estarreja",Single-phase,8/3/2023,MTR1198,Suspended,T070,Camila Pereira
CN1199,C475,Andreia Rodrigues,"Praça dos Aliados, 59, 7129-035 Amarante",Single-phase,11/30/2023,MTR1199,Suspended,T095,Nuno Melo-Garcia
CN1200,C223,Sofia Garcia,"R. de Vaz, 47, 2377-487 Agualva-Cacém",Three-phase,9/19/2019,MTR1200,Suspended,T005,Salomé Araújo
CN1201,C203,Valentina Soares,"Alameda de Cima, 48, 0519-567 Ribeira Grande",Single-phase,11/26/2018,MTR1201,Suspended,T111,Yasmin-Salomé Leal
CN1202,C415,Melissa Rocha,"Alameda Nair Figueiredo, S/N, 4848-437 Amadora",Single-phase,11/15/2021,MTR1202,Active,T016,Micael Esteves
CN1203,C388,Denis Gaspar,"Largo Esteves, S/N, 0227-433 Lagos",Three-phase,12/16/2024,MTR1203,Disconnected,T095,Nuno Melo-Garcia
CN1204,C153,Edgar Oliveira-Figueiredo,"Avenida de Moura, 49, 3264-564 Sines",Three-phase,12/23/2023,MTR1204,Active,T081,Kevin Silva
CN1205,C511,Adriana Barros,"Rua Rocha, 62, 6022-169 Vila Nova de Foz Côa",Single-phase,6/28/2022,MTR1205,Active,T018,Henrique Azevedo
CN1206,C304,Rafaela-Petra Nascimento,"R. Araújo, 57, 7460-429 Serpa",Three-phase,4/15/2023,MTR1206,Disconnected,T008,Mauro Faria
CN1207,C245,Tatiana-Lorena Simões,"Av de Miranda, 6, 7480-957 Viseu",Single-phase,3/11/2024,MTR1207,Suspended,T077,Bianca Lima
CN1208,C324,Fábio Assunção,"Av de Cima, 4, 3694-126 Bragança",Three-phase,8/23/2021,MTR1208,Disconnected,T038,Gabriela Ribeiro-Ramos
CN1209,C410,Nicole Fernandes,"Travessa de Araújo, 18, 1349-564 Vizela",Single-phase,1/9/2022,MTR1209,Active,T110,Gaspar Anjos
CN1210,C092,Lia Assunção,"Largo Rui Moura, 862, 8882-603 Santo Tirso",Three-phase,10/2/2025,MTR1210,Active,T101,Andreia Cruz
CN1211,C052,Ana Rocha,"Largo de Rodrigues, 8, 2217-043 Guimarães",Single-phase,4/13/2022,MTR1211,Disconnected,T111,Yasmin-Salomé Leal
CN1212,C415,Melissa Rocha,"Alameda Nair Figueiredo, S/N, 4848-437 Amadora",Single-phase,2/12/2022,MTR1212,Active,T017,Noa Mendes
CN1213,C168,Alice Sá,"Travessa de Baptista, 46, 5727-919 Amarante",Single-phase,11/30/2024,MTR1213,Disconnected,T042,Daniel Machado-Coelho
CN1214,C138,Beatriz Gonçalves-Cruz,"Av Filipe Araújo, 3, 0848-426 Vila Nova de Famalicão",Single-phase,8/15/2024,MTR1214,Disconnected,T063,Martim Jesus-Mendes
CN1215,C340,Filipe Azevedo,"R. de Costa, 246, 2376-769 Ovar",Three-phase,11/10/2022,MTR1215,Suspended,T035,Bruno Guerreiro
CN1216,C383,Joaquim Nogueira,"Av Daniel Marques, 6, 1502-045 Gandra",Single-phase,7/18/2022,MTR1216,Suspended,T010,Bárbara Andrade
CN1217,C116,Sofia Moura,"R. das Escadas do Monte dos Judeus, 6, 3861-941 Vila Franca de Xira",Three-phase,7/19/2020,MTR1217,Disconnected,T096,Larissa de Pires
CN1218,C079,Melissa Barbosa,"Av Melo, S/N, 7808-866 Freamunde",Three-phase,9/27/2022,MTR1218,Suspended,T048,Bianca-Leonor Barros
CN1219,C102,Frederico Gaspar,"Alameda Gabriel Rocha, 68, 2436-792 Costa da Caparica",Single-phase,5/1/2021,MTR1219,Disconnected,T075,Luciana Sá
CN1220,C589,Bruna Macedo,"Rua do Bicalho, S/N, 2467-287 Santa Cruz",Three-phase,2/17/2023,MTR1220,Disconnected,T094,Gustavo Vieira-Domingues
CN1221,C058,Sofia Domingues,"Largo Isabel Andrade, S/N, 0943-969 Tondela",Three-phase,1/20/2025,MTR1221,Active,T090,Lia-Mélanie Melo
CN1222,C531,Maria de Figueiredo,"Alameda Valente, 681, 2450-000 Alverca do Ribatejo",Three-phase,10/30/2018,MTR1222,Active,T069,Eva Fonseca
CN1223,C226,Caetana Macedo,"Largo Freitas, 3, 1630-335 Lamego",Single-phase,7/7/2022,MTR1223,Suspended,T106,Filipe Costa
CN1224,C563,Rafael Vaz,"Largo Irina Martins, 60, 7874-422 Peso da Régua",Three-phase,2/13/2020,MTR1224,Suspended,T042,Daniel Machado-Coelho
CN1225,C162,Inês Almeida,"Alameda de Guerreiro, 61, 9885-217 Pinhel",Single-phase,11/6/2019,MTR1225,Disconnected,T074,Ivo de Valente
CN1226,C197,Luana Soares,"Avenida da Rainha D. Leonor, S/N, 5344-300 Barcelos",Three-phase,2/9/2022,MTR1226,Disconnected,T063,Martim Jesus-Mendes
CN1227,C566,Petra Maia,"R. Correia, S/N, 3920-491 Póvoa de Santa Iria",Single-phase,1/2/2020,MTR1227,Active,T007,Luca Sousa-Brito
CN1228,C399,Kelly Carvalho,"Praça Pereira, 56, 5456-572 Faro",Three-phase,7/18/2019,MTR1228,Active,T101,Andreia Cruz
CN1229,C589,Bruna Macedo,"Alameda de Figueiredo, 478, 0317-543 Gandra",Single-phase,4/15/2021,MTR1229,Suspended,T119,Bárbara Assunção
CN1230,C569,Melissa-Nicole Cunha,"Largo Margarida Lopes, 939, 5844-617 Tomar",Three-phase,2/19/2024,MTR1230,Active,T001,Letícia Machado
CN1231,C066,Emma do Esteves,"Travessa Lorena Domingues, S/N, 4179-965 Sabugal",Single-phase,7/7/2020,MTR1231,Disconnected,T117,Ricardo Tavares-Coelho
CN1232,C353,Flor Araújo,"Av de Carneiro, 2, 6981-413 Mirandela",Three-phase,7/24/2023,MTR1232,Active,T021,Ana Guerreiro
CN1233,C080,Simão Valente,"Alameda Tavares, 47, 6242-662 Porto",Three-phase,11/19/2020,MTR1233,Active,T047,Adriana Coelho-Correia
CN1234,C493,Mário Lima-Faria,"Rua de Pinho, 7, 9370-632 Amadora",Single-phase,10/30/2022,MTR1234,Active,T086,Bruno do Coelho
CN1235,C158,Helena Leite-Morais,"Praça Leite, 90, 3889-044 Barreiro",Three-phase,9/20/2025,MTR1235,Disconnected,T081,Kevin Silva
CN1236,C407,Sara Carvalho-Soares,"Avenida Batista, 51, 5132-517 Oliveira do Hospital",Single-phase,6/1/2020,MTR1236,Suspended,T097,Marco Andrade
CN1237,C184,Diego Freitas,"Rua do Penalva, 51, 1527-311 Gandra",Single-phase,1/18/2023,MTR1237,Active,T012,Eduardo Guerreiro
CN1238,C502,Alícia Melo,"Alameda do Bolhão, 90, 2657-422 Castelo Branco",Single-phase,2/16/2023,MTR1238,Active,T062,Simão Faria
CN1239,C164,Xavier Rocha,"Largo de Maia, 251, 0220-317 Coimbra",Three-phase,3/28/2025,MTR1239,Active,T029,Ema Vaz
CN1240,C074,Sofia Campos,"Largo do Duro, 13, 6990-139 São Mamede de Infesta",Three-phase,11/4/2020,MTR1240,Active,T090,Lia-Mélanie Melo
CN1241,C273,Luana de Henriques,"Largo Matos, 9, 4361-168 Entroncamento",Single-phase,3/24/2020,MTR1241,Suspended,T055,Leandro Sousa
CN1242,C338,Bruno Campos-Ribeiro,"R. Vicente Azevedo, 34, 4043-261 Vendas Novas",Three-phase,10/5/2022,MTR1242,Active,T030,Marta-Emma Torres
CN1243,C161,Luciana Coelho-Correia,"Avenida Assunção, 43, 6409-805 São Mamede de Infesta",Single-phase,1/23/2021,MTR1243,Active,T104,Ângela Cardoso
CN1244,C450,Salomé Almeida,"Avenida Batista, 8, 2852-464 Montijo",Three-phase,1/11/2024,MTR1244,Active,T048,Bianca-Leonor Barros
CN1245,C268,Irina do Correia,"Largo do Pedregulho, 786, 2784-178 Tondela",Single-phase,9/22/2021,MTR1245,Disconnected,T100,Bernardo Figueiredo
CN1246,C255,Joel Soares,"Avenida Amélia Nascimento, 68, 8569-050 Peniche",Single-phase,11/14/2021,MTR1246,Disconnected,T019,Marcos Gaspar
CN1247,C018,Melissa-Rafaela Amaral,"Alameda Jesus, 356, 8878-887 Pombal",Single-phase,6/17/2023,MTR1247,Suspended,T002,Manuel Lima
CN1248,C588,Emma Jesus-Valente,"Travessa Letícia Martins, S/N, 7842-170 Vila Real",Single-phase,5/25/2021,MTR1248,Disconnected,T093,Renata Cruz
CN1249,C478,André Simões-Fonseca,"Av de Santos, 76, 3152-552 Fiães",Three-phase,5/6/2019,MTR1249,Disconnected,T020,Denis Pires
CN1250,C455,Rodrigo Lima,"Av de Silva, S/N, 4908-099 Vila do Conde",Single-phase,3/25/2019,MTR1250,Active,T057,Larissa Machado
CN1251,C570,Dinis da Gaspar,"R. Bianca Araújo, 1, 3978-713 Paços de Ferreira",Single-phase,4/3/2022,MTR1251,Disconnected,T018,Henrique Azevedo
CN1252,C074,Sofia Campos,"Travessa de Cima, 69, 2529-644 Vale de Cambra",Three-phase,1/16/2019,MTR1252,Suspended,T050,Samuel Barbosa
CN1253,C147,Laura Paiva-Lopes,"Avenida Gil Sá, S/N, 0954-377 Santa Cruz",Single-phase,11/14/2019,MTR1253,Active,T102,Salvador Barros
CN1254,C052,Ana Rocha,"Largo de Rodrigues, 8, 2217-043 Guimarães",Single-phase,10/14/2024,MTR1254,Active,T083,Noa Simões
CN1255,C395,Igor Pinho,"R. de Freitas, 6, 3343-244 Matosinhos",Three-phase,12/7/2018,MTR1255,Disconnected,T077,Bianca Lima
CN1256,C433,Mariana Esteves,"Alameda de Soares, 61, 0564-184 Santiago do Cacém",Three-phase,11/6/2019,MTR1256,Active,T109,Joel Antunes
CN1257,C151,Guilherme de Magalhães,"Travessa Kévim Esteves, 4, 2111-790 São Salvador de Lordelo",Single-phase,6/19/2024,MTR1257,Disconnected,T078,Daniel Campos-Cruz
CN1258,C240,Tiago Miranda,"Praça Mafalda Vaz, 1, 5167-670 Guarda",Single-phase,2/4/2022,MTR1258,Active,T038,Gabriela Ribeiro-Ramos
CN1259,C140,Bruna Castro-Rodrigues,"Rua de Montevideu, 28, 9389-990 Valpaços",Single-phase,4/1/2020,MTR1259,Active,T050,Samuel Barbosa
CN1260,C235,William Anjos,"Avenida Núria Coelho, 136, 8639-945 Coimbra",Single-phase,7/10/2023,MTR1260,Disconnected,T082,Joaquim Guerreiro
CN1261,C357,Marcos Reis,"R. de Palma, 41, 8410-132 Guimarães",Three-phase,5/16/2020,MTR1261,Active,T047,Adriana Coelho-Correia
CN1262,C475,Andreia Rodrigues,"R. Soares, S/N, 2767-293 Almada",Three-phase,1/8/2024,MTR1262,Suspended,T111,Yasmin-Salomé Leal
CN1263,C536,Mia do Simões,"Alameda do Trancão, 57, 3135-183 Estremoz",Single-phase,12/30/2019,MTR1263,Suspended,T088,Daniela Esteves
CN1264,C411,Duarte da Moura,"R. Jorge Costa, 585, 3369-995 Vila Nova de Gaia",Single-phase,12/21/2023,MTR1264,Disconnected,T010,Bárbara Andrade
CN1265,C551,Emília Baptista,"Avenida Leite, 9, 0282-625 Freamunde",Three-phase,6/2/2023,MTR1265,Active,T002,Manuel Lima
CN1266,C105,Lara Oliveira,"Alameda Diogo Araújo, 933, 6087-882 Ponte de Sor",Single-phase,1/18/2022,MTR1266,Suspended,T119,Bárbara Assunção
CN1267,C414,Kyara da Reis,"Alameda da Universidade, 415, 3324-913 Tondela",Three-phase,11/10/2023,MTR1267,Suspended,T037,Enzo Sá
CN1268,C419,Eduardo Machado,"Largo de Monteiro, 3, 5794-074 Leiria",Single-phase,8/10/2024,MTR1268,Disconnected,T052,Nair-Sofia Costa
CN1269,C594,Iara Fernandes,"Avenida Guerreiro, 43, 9900-094 Rio Tinto",Single-phase,1/5/2020,MTR1269,Suspended,T069,Eva Fonseca
CN1270,C452,Wilson Cruz,"Alameda de Mendes, 2, 0889-911 Entroncamento",Single-phase,12/6/2023,MTR1270,Disconnected,T040,Soraia Matos
CN1271,C189,Henrique Nogueira,"Alameda Central, 48, 1971-997 Vila Nova de Santo André",Single-phase,10/25/2020,MTR1271,Disconnected,T104,Ângela Cardoso
CN1272,C100,Ana da Araújo,"Travessa do Sodré, 67, 3695-247 Rebordosa",Single-phase,5/10/2022,MTR1272,Suspended,T051,David do Cardoso
CN1273,C088,Mélanie Batista,"R. de Nascimento, 36, 6278-282 Moura",Single-phase,9/11/2020,MTR1273,Active,T056,Filipa Araújo-Reis
CN1274,C145,Cláudio Alves,"Praça Silva, 9, 6865-086 São Salvador de Lordelo",Three-phase,4/26/2020,MTR1274,Active,T012,Eduardo Guerreiro
CN1275,C087,Ismael Pacheco,"Rua Cruz, 21, 5537-147 Queluz",Single-phase,9/5/2025,MTR1275,Suspended,T079,Valentim Lima
CN1276,C163,Letícia Vaz,"Avenida de Castro, 5, 4098-537 Barcelos",Single-phase,10/21/2021,MTR1276,Active,T095,Nuno Melo-Garcia
CN1277,C357,Marcos Reis,"R. de Palma, 41, 8410-132 Guimarães",Single-phase,7/24/2021,MTR1277,Disconnected,T091,Sara Domingues
CN1278,C518,Inês Coelho,"Rua Anjos, 94, 8984-841 Amora",Three-phase,5/25/2024,MTR1278,Suspended,T021,Ana Guerreiro
CN1279,C577,Filipa Antunes,"Rua das Âncoras, 79, 8667-989 Serpa",Three-phase,11/19/2022,MTR1279,Active,T067,Henrique Guerreiro
CN1280,C493,Mário Lima-Faria,"Rua de Pinho, 7, 9370-632 Amadora",Three-phase,1/21/2019,MTR1280,Disconnected,T017,Noa Mendes
CN1281,C156,Pilar Gaspar,"Avenida Cardeal Cerejeira, 40, 5084-243 Viana do Castelo",Single-phase,11/23/2018,MTR1281,Suspended,T099,Valentim Miranda
CN1282,C500,Jéssica Gomes,"Praça da Cruz, 64, 7413-401 Évora",Three-phase,8/30/2022,MTR1282,Disconnected,T055,Leandro Sousa
CN1283,C523,Bárbara Garcia,"Rua Carolina Michaelis de Vasconcelos, 77, 2737-203 Quarteira",Single-phase,11/2/2021,MTR1283,Suspended,T034,Fabiana Tavares
CN1284,C381,Vítor Garcia,"Alameda Tomás Coelho, 34, 6251-085 Lisboa",Three-phase,11/11/2023,MTR1284,Active,T066,Joel do Pinho
CN1285,C235,William Anjos,"Avenida Núria Coelho, 136, 8639-945 Coimbra",Single-phase,11/29/2023,MTR1285,Suspended,T110,Gaspar Anjos
CN1286,C110,Dinis da Assunção,"Praça da Cova da Moura, 77, 3329-986 Chaves",Single-phase,1/21/2024,MTR1286,Disconnected,T033,Pedro Sousa
CN1287,C078,Carlos Neves,"Largo Torres, 63, 0076-150 Felgueiras",Single-phase,4/11/2020,MTR1287,Active,T093,Renata Cruz
CN1288,C253,Ângelo Nogueira,"Travessa Faria, 96, 0548-510 Seia",Single-phase,10/31/2024,MTR1288,Active,T066,Joel do Pinho
CN1289,C392,Jorge Loureiro,"Av de Pires, 50, 6044-090 Serpa",Single-phase,11/26/2019,MTR1289,Active,T111,Yasmin-Salomé Leal
CN1290,C340,Filipe Azevedo,"Rua de Rocha, 27, 0598-445 Mealhada",Three-phase,12/27/2020,MTR1290,Suspended,T061,Filipe Costa-Pacheco
CN1291,C020,Noa Andrade,"Rua de Machado, 7, 0805-983 Esmoriz",Single-phase,4/15/2025,MTR1291,Disconnected,T023,Marcos Neto
CN1292,C285,Patrícia do Esteves,"Avenida de Nogueira, 76, 9321-359 Entroncamento",Three-phase,12/14/2021,MTR1292,Active,T117,Ricardo Tavares-Coelho
CN1293,C499,Dinis do Pires,"R. Nelson Amorim, S/N, 3922-205 Estarreja",Three-phase,3/15/2024,MTR1293,Disconnected,T032,Pedro Amorim
CN1294,C546,Carolina Machado,"Rua Cláudio Coelho, 66, 0522-411 Felgueiras",Single-phase,1/10/2025,MTR1294,Disconnected,T035,Bruno Guerreiro
CN1295,C302,Eduarda-Pilar Carneiro,"Travessa Nogueira, 30, 0619-019 Macedo de Cavaleiros",Single-phase,3/21/2023,MTR1295,Active,T016,Micael Esteves
CN1296,C087,Ismael Pacheco,"Av Sá, 66, 9170-851 Lourosa",Single-phase,3/16/2020,MTR1296,Suspended,T103,Filipa-Jéssica Pinheiro
CN1297,C201,José Silva,"Avenida Letícia Amorim, 857, 0441-007 Coimbra",Three-phase,2/7/2022,MTR1297,Suspended,T113,Marcos Gaspar
CN1298,C527,Ivan Faria,"Avenida de Baptista, 49, 0655-782 Chaves",Three-phase,4/28/2021,MTR1298,Suspended,T109,Joel Antunes
CN1299,C290,Rita Campos,"Avenida Neto, S/N, 1985-458 Viseu",Three-phase,5/13/2021,MTR1299,Active,T071,Lourenço Nogueira
CN1300,C374,Iara Vieira,"Praça de Garcia, 70, 7960-242 Seixal",Three-phase,5/25/2025,MTR1300,Disconnected,T026,Marco Ferreira
CN1301,C592,Teresa Abreu-Magalhães,"Largo de Moreira, 888, 8206-322 Caniço",Single-phase,6/18/2019,MTR1301,Suspended,T039,Júlia Assunção
CN1302,C374,Iara Vieira,"Praça de Garcia, 70, 7960-242 Seixal",Three-phase,10/5/2025,MTR1302,Active,T076,Lorena Andrade-Nascimento
CN1303,C348,Madalena Matias,"Alameda Castro, 166, 2358-418 Fundão",Single-phase,5/20/2024,MTR1303,Active,T116,Lúcia do Pinto
CN1304,C405,Edgar Vieira,"Rua da Foz, 34, 8096-244 Rio Tinto",Three-phase,4/30/2024,MTR1304,Active,T120,Raquel Coelho
CN1305,C270,Afonso do Domingues,"Travessa Ângela Moreira, 36, 2359-605 Alcobaça",Three-phase,2/19/2023,MTR1305,Disconnected,T070,Camila Pereira
CN1306,C190,Lourenço Castro,"Travessa de Maia, S/N, 8911-343 Torres Novas",Single-phase,12/26/2018,MTR1306,Suspended,T089,Luna Abreu
CN1307,C083,Naiara Ramos,"Travessa do Buraco, S/N, 9185-488 Queluz",Three-phase,3/16/2020,MTR1307,Disconnected,T098,Alexandre de Gomes
CN1308,C558,Mara Pereira,"Alameda de Lourenço, 895, 0124-825 Mealhada",Single-phase,7/2/2019,MTR1308,Active,T040,Soraia Matos
CN1309,C057,Camila Ramos-Baptista,"Avenida Alves, S/N, 7896-951 Abrantes",Three-phase,9/22/2021,MTR1309,Suspended,T031,Luca Matos
CN1310,C267,Daniel Antunes,"Rua da Aldeia, 19, 6769-915 Serpa",Three-phase,3/24/2025,MTR1310,Active,T019,Marcos Gaspar
CN1311,C242,Ângela Vieira,"Largo Isaac Barbosa, 718, 4246-488 Setúbal",Single-phase,3/21/2024,MTR1311,Disconnected,T118,Melissa Cardoso
CN1312,C567,Bryan Neto,"Praça Castro, 6, 7545-847 Póvoa de Varzim",Three-phase,6/3/2023,MTR1312,Suspended,T090,Lia-Mélanie Melo
CN1313,C510,Yasmin Teixeira,"Largo Vaz, 717, 2962-809 Odivelas",Single-phase,5/19/2021,MTR1313,Disconnected,T011,Guilherme Antunes
CN1314,C478,André Simões-Fonseca,"Avenida das Portas do Mar, 18, 7703-163 Amora",Three-phase,6/20/2025,MTR1314,Active,T082,Joaquim Guerreiro
CN1315,C291,Vicente Machado,"R. João Moreira, 9, 7932-302 Marinha Grande",Single-phase,7/29/2019,MTR1315,Suspended,T073,César Costa
CN1316,C361,Vicente Assunção,"Travessa de Pereira, 4, 3969-045 Gafanha da Nazaré",Single-phase,10/26/2020,MTR1316,Suspended,T017,Noa Mendes
CN1317,C503,Filipa Machado,"Largo Isabela Abreu, 12, 3638-564 Bragança",Three-phase,1/30/2024,MTR1317,Suspended,T109,Joel Antunes
CN1318,C490,Noa de Leite,"Av da Senhora da Luz, 740, 1487-831 Guarda",Three-phase,7/10/2024,MTR1318,Suspended,T107,Victória Guerreiro
CN1319,C485,Sara Batista,"Av das Garças, 78, 1145-768 Estarreja",Single-phase,10/31/2023,MTR1319,Active,T035,Bruno Guerreiro
CN1320,C548,Kevin Nunes-Cardoso,"Alameda das Tágides, 31, 9497-220 Gandra",Single-phase,10/1/2021,MTR1320,Active,T018,Henrique Azevedo
CN1321,C561,Eduardo Gonçalves,"Largo Barbosa, S/N, 2125-434 Gandra",Three-phase,7/20/2025,MTR1321,Suspended,T022,Tiago da Maia
CN1322,C467,Núria Gonçalves,"Praça Loureiro, 43, 3574-859 Gouveia",Single-phase,9/1/2024,MTR1322,Disconnected,T053,Camila Tavares
CN1323,C235,William Anjos,"Travessa do Tijolo, 957, 9783-028 Bragança",Single-phase,8/9/2020,MTR1323,Suspended,T099,Valentim Miranda
CN1324,C484,Caetana-Sara Neto,"Travessa do Almirante Gago Coutinho, 75, 2601-863 Esmoriz",Three-phase,4/12/2022,MTR1324,Active,T060,Carlos Soares
CN1325,C150,Mateus Gaspar,"Avenida do Alto de São João, S/N, 3356-588 Matosinhos",Three-phase,4/25/2020,MTR1325,Disconnected,T021,Ana Guerreiro
CN1326,C586,Luca Lima,"Largo Vítor Silva, 592, 6883-410 Matosinhos",Single-phase,7/17/2025,MTR1326,Active,T078,Daniel Campos-Cruz
CN1327,C179,Rafaela-Carolina Carneiro,"Rua Reis, 62, 5207-882 Rebordosa",Three-phase,6/16/2020,MTR1327,Active,T110,Gaspar Anjos
CN1328,C250,Nair do Barros,"Largo Moura, S/N, 4527-353 Oliveira do Hospital",Single-phase,11/26/2021,MTR1328,Suspended,T092,Sara-Jéssica Domingues
CN1329,C158,Helena Leite-Morais,"Praça Leite, 90, 3889-044 Barreiro",Single-phase,8/31/2022,MTR1329,Disconnected,T066,Joel do Pinho
CN1330,C593,Salomé Baptista,"Praça de Teixeira, 3, 3186-830 Vila Real de Santo António",Single-phase,3/22/2019,MTR1330,Active,T034,Fabiana Tavares
CN1331,C282,Santiago Fonseca,"Av do Pedregulho, S/N, 6335-331 Santa Comba Dão",Three-phase,3/20/2024,MTR1331,Disconnected,T110,Gaspar Anjos
CN1332,C478,André Simões-Fonseca,"Av de Santos, 76, 3152-552 Fiães",Single-phase,1/23/2025,MTR1332,Active,T071,Lourenço Nogueira
CN1333,C591,Yara Tavares,"Rua de Magalhães, 15, 8231-342 Portimão",Single-phase,10/20/2023,MTR1333,Active,T014,Tiago Baptista
CN1334,C357,Marcos Reis,"R. de Palma, 41, 8410-132 Guimarães",Single-phase,9/27/2019,MTR1334,Active,T008,Mauro Faria
CN1335,C435,Wilson Ribeiro,"Rua de Almeida, 9, 9760-396 Abrantes",Three-phase,6/4/2025,MTR1335,Suspended,T106,Filipe Costa
CN1336,C462,Renato Borges,"Largo das Carquejeiras, 83, 7927-490 Gandra",Single-phase,1/12/2019,MTR1336,Disconnected,T081,Kevin Silva
CN1337,C204,Beatriz Abreu,"Praça de Brito, 6, 7856-413 Miranda do Douro",Single-phase,2/21/2021,MTR1337,Active,T034,Fabiana Tavares
CN1338,C590,Ricardo Araújo,"Praça Rafaela Maia, S/N, 2304-588 Ribeira Grande",Three-phase,11/17/2021,MTR1338,Active,T026,Marco Ferreira
CN1339,C074,Sofia Campos,"Av Gaspar, S/N, 9182-851 Santa Comba Dão",Three-phase,4/1/2025,MTR1339,Active,T116,Lúcia do Pinto
CN1340,C158,Helena Leite-Morais,"Travessa Vítor Ribeiro, 64, 9999-001 Vendas Novas",Single-phase,6/9/2019,MTR1340,Active,T060,Carlos Soares
CN1341,C157,Ricardo Cardoso-Azevedo,"Praça da Carvalhosa, 94, 2829-979 Valongo",Three-phase,2/29/2020,MTR1341,Suspended,T056,Filipa Araújo-Reis
CN1342,C268,Irina do Correia,"Rua Gonçalo Andrade, S/N, 4968-549 Fafe",Three-phase,8/14/2022,MTR1342,Active,T049,Ana do Anjos
